motion_id,meeting_id,meeting_type,vote_date,vote_number,agenda_description,vote_start_date_time,decision,member_vote_count,vote_counts
18628-10491,18628,Special Council,2025-01-29,10491,1. Business Licence Application: 24-158958 (Short Term Rental),2025-01-29T12:02:57-08:00,Carried Unanimously,9,"{""In Favour"": 3, ""In Opposition"": 0, ""Abstain"": 0, ""Absent"": 6, ""Declared Conflict"": 0, ""No Vote"": 0, ""Ineligible"": 0}"
18627-10490,18627,Special Council,2025-01-28,10490,"1. Change to Acting Mayor Schedule for January 29-31, 2025",2025-01-28T14:04:11-08:00,Carried Unanimously,9,"{""In Favour"": 6, ""In Opposition"": 0, ""Abstain"": 0, ""Absent"": 3, ""Declared Conflict"": 0, ""No Vote"": 0, ""Ineligible"": 0}"
18627-10489,18627,Special Council,2025-01-28,10489,1. Business Licence Application No. 24-159505 (Short Term Rental) 3470 Prince Edward Street,2025-01-28T11:11:45-08:00,Carried Unanimously,9,"{""In Favour"": 3, ""In Opposition"": 0, ""Abstain"": 0, ""Absent"": 6, ""Declared Conflict"": 0, ""No Vote"": 0, ""Ineligible"": 0}"
18711-10487,18711,Public Hearing,2025-01-23,10487,3. CD-1 Rezoning: 1245-1265 West 10th Avenue,2025-01-23T20:44:41-08:00,Carried Unanimously,9,"{""In Favour"": 8, ""In Opposition"": 0, ""Abstain"": 0, ""Absent"": 1, ""Declared Conflict"": 0, ""No Vote"": 0, ""Ineligible"": 0}"
18711-10486,18711,Public Hearing,2025-01-23,10486,2. CD-1 Rezoning: 1190 West 10th Avenue,2025-01-23T19:59:16-08:00,Carried Unanimously,9,"{""In Favour"": 8, ""In Opposition"": 0, ""Abstain"": 0, ""Absent"": 1, ""Declared Conflict"": 0, ""No Vote"": 0, ""Ineligible"": 0}"
18711-10485,18711,Public Hearing,2025-01-23,10485,1. CD-1 Rezoning: 1434-1456 West 8th Avenue,2025-01-23T19:01:27-08:00,Carried Unanimously,9,"{""In Favour"": 8, ""In Opposition"": 0, ""Abstain"": 0, ""Absent"": 1, ""Declared Conflict"": 0, ""No Vote"": 0, ""Ineligible"": 0}"
18625-10484,18625,Policy & Strategic Priorities,2025-01-22,10484,R3. Change Order for Consulting Services for ServiceNow Resources Augmentation,2025-01-22T10:58:54-08:00,Carried Unanimously,9,"{""In Favour"": 9, ""In Opposition"": 0, ""Abstain"": 0, ""Absent"": 0, ""Declared Conflict"": 0, ""No Vote"": 0, ""Ineligible"": 0}"
18625-10483,18625,Policy & Strategic Priorities,2025-01-22,10483,R1. Contract Award for Tree Removal and Associated Services in Stanley Park,2025-01-22T10:58:11-08:00,Carried Unanimously,9,"{""In Favour"": 9, ""In Opposition"": 0, ""Abstain"": 0, ""Absent"": 0, ""Declared Conflict"": 0, ""No Vote"": 0, ""Ineligible"": 0}"
18625-10482,18625,Policy & Strategic Priorities,2025-01-22,10482,Motion 2. Change to Acting Mayor Roster 2025,2025-01-22T10:47:24-08:00,Carried Unanimously,9,"{""In Favour"": 9, ""In Opposition"": 0, ""Abstain"": 0, ""Absent"": 0, ""Declared Conflict"": 0, ""No Vote"": 0, ""Ineligible"": 0}"
18625-10481,18625,Policy & Strategic Priorities,2025-01-22,10481,Motion 1. Effective Water Use in the City of Vancouver,2025-01-22T10:45:46-08:00,Carried Unanimously,9,"{""In Favour"": 9, ""In Opposition"": 0, ""Abstain"": 0, ""Absent"": 0, ""Declared Conflict"": 0, ""No Vote"": 0, ""Ineligible"": 0}"
